RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000001029	7237	6435	4910	4607	4933	6161	2984	3981	3185	1428	1646	1701	2326	1719	2308
ENSMUSG00000001034	1012	1020	850	800	740	645	263	406	314	545	456	288	709	690	588
ENSMUSG00000001036	17	42	17	24	57	28	5	10	5	17	10	16	34	16	37
ENSMUSG00000001039	17	29	20	47	28	77	25	47	23	20	31	24	83	11	38
ENSMUSG00000001052	1138	1212	809	936	878	449	510	600	734	610	577	549	864	616	733
ENSMUSG00000001053	438	224	252	194	211	274	92	160	118	338	181	59	396	347	308
ENSMUSG00000001054	2716	2884	2564	2819	3094	2962	1729	2205	1744	2712	1995	1632	2902	2277	2826
ENSMUSG00000001056	3114	2663	2784	3158	3525	5475	6514	8077	6157	2783	3476	3126	3439	2794	3760
ENSMUSG00000001062	298	320	155	346	288	185	168	187	220	327	393	212	482	429	527
ENSMUSG00000001065	270	311	218	217	177	135	69	82	114	169	119	89	217	273	250
ENSMUSG00000001076	0	0	0	1	0	5	0	0	0	2	0	0	0	1	6
ENSMUSG00000001082	595	622	620	1211	1394	1368	1664	2254	1429	5995	3411	2680	6955	5659	7741
ENSMUSG00000001089	152	123	65	174	214	108	131	126	152	135	212	189	264	295	500
ENSMUSG00000001095	2	0	0	1	2	4	0	4	0	0	0	0	7	0	5
ENSMUSG00000001098	1820	1755	1703	1838	1984	2027	1005	1373	1095	1944	1328	968	2922	2468	1784
ENSMUSG00000001100	665	936	769	827	694	781	857	1127	824	787	756	576	1070	726	902
ENSMUSG00000001103	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0
ENSMUSG00000001105	1962	2491	1389	2386	2568	2100	2052	2737	2258	2476	2252	2742	3163	2268	2980
ENSMUSG00000001119	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000001120	243	305	384	39	66	53	172	206	149	82	86	74	159	43	74
ENSMUSG00000001123	11251	12081	10528	14153	15068	17067	8754	13063	9438	9593	9338	8322	12675	7851	11624
ENSMUSG00000001127	5521	8142	4287	4293	4850	4479	2833	3704	3312	4471	3538	4429	5692	4102	5318
ENSMUSG00000001128	431	196	154	1018	1299	890	421	669	369	433	2317	903	2467	610	2153
ENSMUSG00000001131	3	2	0	0	1	0	11	2	6	1	8	5	6	0	2
ENSMUSG00000001134	350	420	303	370	429	553	465	534	438	372	380	361	514	352	477
ENSMUSG00000001138	459	513	391	225	205	162	195	246	271	398	341	393	567	356	431
ENSMUSG00000001143	959	821	490	337	323	531	365	511	347	704	644	519	689	715	849
ENSMUSG00000001150	1722	2164	1123	1181	1296	755	670	723	946	758	724	643	1320	923	1247
ENSMUSG00000001151	1336	1617	961	1048	1063	516	641	800	922	481	495	448	814	765	854
ENSMUSG00000001155	1	0	0	0	0	0	1	0	0	12	4	4	6	18	0
ENSMUSG00000001156	780	652	465	684	692	607	355	564	625	501	911	531	1078	481	983
ENSMUSG00000001157	751	839	435	536	465	256	378	468	530	501	323	473	484	486	695
ENSMUSG00000001158	2409	2597	1965	2441	2690	2987	2747	3547	2863	2975	2640	3053	3148	2576	3668
ENSMUSG00000001166	328	454	332	436	473	336	241	322	289	388	334	332	419	202	404
ENSMUSG00000001168	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000001173	142	279	94	65	72	28	37	52	69	66	161	137	215	137	255
ENSMUSG00000001175	44124	45298	31610	70061	72455	60153	56751	70648	60372	43833	46682	66094	61520	48262	73642
ENSMUSG00000001211	4915	5097	3751	5049	5732	5309	2913	3595	2882	4149	3360	4259	4618	4688	5264
ENSMUSG00000001225	2	1	1	0	2	0	0	0	1	0	1	0	6	0	0
